Starting Generator Model Training at Sat Apr 25 07:01:44 PM CDT 2026
Model: gan
Epochs: 20
Batch Size: 64
Learning Rate: 0.002
Data Fraction: 0.25
Process ID: 3030256
======================================================
Python Process PID: 3030270
2026-04-25 19:01:49,398 - INFO - Selected GPU: 1
2026-04-25 19:01:50,699 - INFO - Dataset size: 50649 images
2026-04-25 19:03:12,958 - INFO - Batch shape: torch.Size([64, 3, 64, 64])
2026-04-25 19:03:12,959 - INFO - Batch range: [0.00, 1.00]
2026-04-25 19:03:13,407 - INFO - Models and optimizers initialized
2026-04-25 19:03:13,407 - INFO - Starting GAN training...
Epoch [2/20] Batch [290/792] D_loss: 1.6932 G_loss: 0.7023
Epoch [2/20] Batch [300/792] D_loss: 1.6926 G_loss: 0.6803
Epoch [2/20] Batch [310/792] D_loss: 1.6938 G_loss: 0.7189
Epoch [2/20] Batch [320/792] D_loss: 1.6925 G_loss: 0.6819
Epoch [2/20] Batch [330/792] D_loss: 1.6928 G_loss: 0.7071
Epoch [2/20] Batch [340/792] D_loss: 1.6927 G_loss: 0.6849
Epoch [2/20] Batch [350/792] D_loss: 1.6928 G_loss: 0.7037
Epoch [2/20] Batch [360/792] D_loss: 1.6925 G_loss: 0.6839
Epoch [2/20] Batch [370/792] D_loss: 1.6929 G_loss: 0.7066
Epoch [2/20] Batch [380/792] D_loss: 1.6926 G_loss: 0.6965
Epoch [2/20] Batch [390/792] D_loss: 1.6929 G_loss: 0.6892
Epoch [2/20] Batch [400/792] D_loss: 1.6929 G_loss: 0.6928
Epoch [2/20] Batch [410/792] D_loss: 1.6931 G_loss: 0.6891
Epoch [2/20] Batch [420/792] D_loss: 1.6935 G_loss: 0.6935
Epoch [2/20] Batch [430/792] D_loss: 1.6928 G_loss: 0.6952
Epoch [2/20] Batch [440/792] D_loss: 1.6928 G_loss: 0.6889
Epoch [2/20] Batch [450/792] D_loss: 1.6934 G_loss: 0.6937
Epoch [2/20] Batch [460/792] D_loss: 1.6931 G_loss: 0.6874
Epoch [2/20] Batch [470/792] D_loss: 1.6934 G_loss: 0.6995
Epoch [2/20] Batch [480/792] D_loss: 1.6932 G_loss: 0.6909
Epoch [2/20] Batch [490/792] D_loss: 1.6932 G_loss: 0.6993
Epoch [2/20] Batch [500/792] D_loss: 1.6929 G_loss: 0.6828
Epoch [2/20] Batch [510/792] D_loss: 1.6938 G_loss: 0.7043
Epoch [2/20] Batch [520/792] D_loss: 1.6941 G_loss: 0.6884
Epoch [2/20] Batch [530/792] D_loss: 1.6932 G_loss: 0.6941
Epoch [2/20] Batch [540/792] D_loss: 1.6938 G_loss: 0.7013
Epoch [2/20] Batch [550/792] D_loss: 1.6929 G_loss: 0.6894
Epoch [2/20] Batch [560/792] D_loss: 1.6937 G_loss: 0.7105
Epoch [2/20] Batch [570/792] D_loss: 1.6934 G_loss: 0.7104
Epoch [2/20] Batch [580/792] D_loss: 1.6933 G_loss: 0.6864
Epoch [2/20] Batch [590/792] D_loss: 1.6934 G_loss: 0.6927
Epoch [2/20] Batch [600/792] D_loss: 1.6932 G_loss: 0.6948
Epoch [2/20] Batch [610/792] D_loss: 1.6926 G_loss: 0.6867
Epoch [2/20] Batch [620/792] D_loss: 1.6938 G_loss: 0.6973
Epoch [2/20] Batch [630/792] D_loss: 1.6932 G_loss: 0.6853
Epoch [2/20] Batch [640/792] D_loss: 1.6944 G_loss: 0.6968
Epoch [2/20] Batch [650/792] D_loss: 1.6935 G_loss: 0.6898
Epoch [2/20] Batch [660/792] D_loss: 1.6942 G_loss: 0.6964
Epoch [2/20] Batch [670/792] D_loss: 1.6941 G_loss: 0.6864
Epoch [2/20] Batch [680/792] D_loss: 1.6911 G_loss: 0.7242
Epoch [2/20] Batch [690/792] D_loss: 1.6924 G_loss: 0.6893
Epoch [2/20] Batch [700/792] D_loss: 1.6925 G_loss: 0.6986
Epoch [2/20] Batch [710/792] D_loss: 1.6929 G_loss: 0.6895
Epoch [2/20] Batch [720/792] D_loss: 1.6932 G_loss: 0.6951
Epoch [2/20] Batch [730/792] D_loss: 1.6931 G_loss: 0.6919
Epoch [2/20] Batch [740/792] D_loss: 1.6930 G_loss: 0.6938
Epoch [2/20] Batch [750/792] D_loss: 1.6926 G_loss: 0.6972
Epoch [2/20] Batch [760/792] D_loss: 1.6930 G_loss: 0.6868
Epoch [2/20] Batch [770/792] D_loss: 1.6927 G_loss: 0.7038
Epoch [2/20] Batch [780/792] D_loss: 1.6929 G_loss: 0.6849
Epoch [2/20] Batch [790/792] D_loss: 1.6930 G_loss: 0.7067
Epoch [3/20] Batch [0/792] D_loss: 1.6931 G_loss: 0.7064
Epoch [3/20] Batch [10/792] D_loss: 1.6963 G_loss: 0.7144
Epoch [3/20] Batch [20/792] D_loss: 1.6903 G_loss: 0.7230
Epoch [3/20] Batch [30/792] D_loss: 1.6996 G_loss: 0.7194
Epoch [3/20] Batch [40/792] D_loss: 1.6959 G_loss: 0.6960
Epoch [3/20] Batch [50/792] D_loss: 1.6904 G_loss: 0.6550
Epoch [3/20] Batch [60/792] D_loss: 1.7076 G_loss: 0.7115
Epoch [3/20] Batch [70/792] D_loss: 1.6927 G_loss: 0.6937
Epoch [3/20] Batch [80/792] D_loss: 1.6941 G_loss: 0.7020
Epoch [3/20] Batch [90/792] D_loss: 1.6935 G_loss: 0.6932
Epoch [3/20] Batch [100/792] D_loss: 1.6941 G_loss: 0.6881
Epoch [3/20] Batch [110/792] D_loss: 1.6925 G_loss: 0.7204
Epoch [3/20] Batch [120/792] D_loss: 1.6922 G_loss: 0.6830
Epoch [3/20] Batch [130/792] D_loss: 1.6928 G_loss: 0.7179
Epoch [3/20] Batch [140/792] D_loss: 1.6923 G_loss: 0.6914
Epoch [3/20] Batch [150/792] D_loss: 1.6940 G_loss: 0.7002
Epoch [3/20] Batch [160/792] D_loss: 1.6926 G_loss: 0.6918
Epoch [3/20] Batch [170/792] D_loss: 1.6933 G_loss: 0.6985
Epoch [3/20] Batch [180/792] D_loss: 1.6935 G_loss: 0.6986
Epoch [3/20] Batch [190/792] D_loss: 1.6933 G_loss: 0.6889
Epoch [3/20] Batch [200/792] D_loss: 1.6940 G_loss: 0.6992
Epoch [3/20] Batch [210/792] D_loss: 1.6933 G_loss: 0.6821
Epoch [3/20] Batch [220/792] D_loss: 1.6939 G_loss: 0.7031
Epoch [3/20] Batch [230/792] D_loss: 1.6924 G_loss: 0.6863
Epoch [3/20] Batch [240/792] D_loss: 1.6933 G_loss: 0.7002
Epoch [3/20] Batch [250/792] D_loss: 1.6933 G_loss: 0.6869
Epoch [3/20] Batch [260/792] D_loss: 1.6940 G_loss: 0.6937
Epoch [3/20] Batch [270/792] D_loss: 1.6955 G_loss: 0.7003
Epoch [3/20] Batch [280/792] D_loss: 1.6945 G_loss: 0.6792
Epoch [3/20] Batch [290/792] D_loss: 1.6933 G_loss: 0.7214
Epoch [3/20] Batch [300/792] D_loss: 1.6920 G_loss: 0.6878
Epoch [3/20] Batch [310/792] D_loss: 1.6945 G_loss: 0.7022
Epoch [3/20] Batch [320/792] D_loss: 1.6933 G_loss: 0.6924
Epoch [3/20] Batch [330/792] D_loss: 1.6942 G_loss: 0.6932
Epoch [3/20] Batch [340/792] D_loss: 1.6959 G_loss: 0.7000
Epoch [3/20] Batch [350/792] D_loss: 1.6943 G_loss: 0.6872
Epoch [3/20] Batch [360/792] D_loss: 1.6951 G_loss: 0.7049
Epoch [3/20] Batch [370/792] D_loss: 1.6931 G_loss: 0.6885
Epoch [3/20] Batch [380/792] D_loss: 1.6933 G_loss: 0.6987
Epoch [3/20] Batch [390/792] D_loss: 1.6936 G_loss: 0.7001
Epoch [3/20] Batch [400/792] D_loss: 1.6929 G_loss: 0.6857
Epoch [3/20] Batch [410/792] D_loss: 1.6939 G_loss: 0.6979
Epoch [3/20] Batch [420/792] D_loss: 1.6934 G_loss: 0.6945
Epoch [3/20] Batch [430/792] D_loss: 1.6931 G_loss: 0.6898
Epoch [3/20] Batch [440/792] D_loss: 1.6930 G_loss: 0.6989
Epoch [3/20] Batch [450/792] D_loss: 1.6931 G_loss: 0.6926
Epoch [3/20] Batch [460/792] D_loss: 1.6932 G_loss: 0.6876
Epoch [3/20] Batch [470/792] D_loss: 1.6931 G_loss: 0.7013
Epoch [3/20] Batch [480/792] D_loss: 1.6929 G_loss: 0.6893
Epoch [3/20] Batch [490/792] D_loss: 1.6933 G_loss: 0.6945
Epoch [3/20] Batch [500/792] D_loss: 1.6941 G_loss: 0.6977
Epoch [3/20] Batch [510/792] D_loss: 1.6933 G_loss: 0.6845
Epoch [3/20] Batch [520/792] D_loss: 1.6928 G_loss: 0.7002
Epoch [3/20] Batch [530/792] D_loss: 1.6934 G_loss: 0.6932
Epoch [3/20] Batch [540/792] D_loss: 1.6931 G_loss: 0.6904
Epoch [3/20] Batch [550/792] D_loss: 1.6928 G_loss: 0.6989
Epoch [3/20] Batch [560/792] D_loss: 1.6932 G_loss: 0.6938
Epoch [3/20] Batch [570/792] D_loss: 1.6932 G_loss: 0.6845
Epoch [3/20] Batch [580/792] D_loss: 1.6927 G_loss: 0.7048
Epoch [3/20] Batch [590/792] D_loss: 1.6936 G_loss: 0.6928
Epoch [3/20] Batch [600/792] D_loss: 1.6934 G_loss: 0.6879
Epoch [3/20] Batch [610/792] D_loss: 1.6930 G_loss: 0.7041
Epoch [3/20] Batch [620/792] D_loss: 1.6932 G_loss: 0.6923
Epoch [3/20] Batch [630/792] D_loss: 1.6939 G_loss: 0.6857
Epoch [3/20] Batch [640/792] D_loss: 1.6928 G_loss: 0.7048
Epoch [3/20] Batch [650/792] D_loss: 1.6931 G_loss: 0.6919
Epoch [3/20] Batch [660/792] D_loss: 1.6937 G_loss: 0.6897
Epoch [3/20] Batch [670/792] D_loss: 1.6936 G_loss: 0.7009
Epoch [3/20] Batch [680/792] D_loss: 1.6932 G_loss: 0.6906
Epoch [3/20] Batch [690/792] D_loss: 1.6934 G_loss: 0.6884
Epoch [3/20] Batch [700/792] D_loss: 1.6927 G_loss: 0.7015
Epoch [3/20] Batch [710/792] D_loss: 1.6929 G_loss: 0.6925
Epoch [3/20] Batch [720/792] D_loss: 1.6932 G_loss: 0.6860
Epoch [3/20] Batch [730/792] D_loss: 1.6927 G_loss: 0.7025
Epoch [3/20] Batch [740/792] D_loss: 1.6936 G_loss: 0.6946
Epoch [3/20] Batch [750/792] D_loss: 1.6929 G_loss: 0.6872
Epoch [3/20] Batch [760/792] D_loss: 1.6934 G_loss: 0.6922
Epoch [3/20] Batch [770/792] D_loss: 1.6935 G_loss: 0.7009
Epoch [3/20] Batch [780/792] D_loss: 1.6931 G_loss: 0.6914
Epoch [3/20] Batch [790/792] D_loss: 1.6935 G_loss: 0.6880
Epoch [4/20] Batch [0/792] D_loss: 1.6937 G_loss: 0.6906
Epoch [4/20] Batch [10/792] D_loss: 1.6933 G_loss: 0.6988
Epoch [4/20] Batch [20/792] D_loss: 1.6931 G_loss: 0.6905
Epoch [4/20] Batch [30/792] D_loss: 1.6934 G_loss: 0.6892
Epoch [4/20] Batch [40/792] D_loss: 1.6932 G_loss: 0.6977
Epoch [4/20] Batch [50/792] D_loss: 1.6931 G_loss: 0.6916
Epoch [4/20] Batch [60/792] D_loss: 1.6939 G_loss: 0.6889
Epoch [4/20] Batch [70/792] D_loss: 1.6934 G_loss: 0.6998
Epoch [4/20] Batch [80/792] D_loss: 1.6931 G_loss: 0.6922
Epoch [4/20] Batch [90/792] D_loss: 1.6933 G_loss: 0.6883
Epoch [4/20] Batch [100/792] D_loss: 1.6927 G_loss: 0.7006
Epoch [4/20] Batch [110/792] D_loss: 1.6934 G_loss: 0.6939
Epoch [4/20] Batch [120/792] D_loss: 1.6932 G_loss: 0.6852
Epoch [4/20] Batch [130/792] D_loss: 1.6928 G_loss: 0.7009
Epoch [4/20] Batch [140/792] D_loss: 1.6938 G_loss: 0.6960
Epoch [4/20] Batch [150/792] D_loss: 1.6929 G_loss: 0.6873
Epoch [4/20] Batch [160/792] D_loss: 1.6932 G_loss: 0.6948
Epoch [4/20] Batch [170/792] D_loss: 1.6937 G_loss: 0.6974
Epoch [4/20] Batch [180/792] D_loss: 1.6930 G_loss: 0.6901
Epoch [4/20] Batch [190/792] D_loss: 1.6934 G_loss: 0.6916
Epoch [4/20] Batch [200/792] D_loss: 1.6928 G_loss: 0.6996
Epoch [4/20] Batch [210/792] D_loss: 1.6933 G_loss: 0.6929
Epoch [4/20] Batch [220/792] D_loss: 1.6934 G_loss: 0.6886
Epoch [4/20] Batch [230/792] D_loss: 1.6930 G_loss: 0.6947
Epoch [4/20] Batch [240/792] D_loss: 1.6934 G_loss: 0.6958
Epoch [4/20] Batch [250/792] D_loss: 1.6928 G_loss: 0.6898
Epoch [4/20] Batch [260/792] D_loss: 1.6931 G_loss: 0.6947
Epoch [4/20] Batch [270/792] D_loss: 1.6931 G_loss: 0.6969
Epoch [4/20] Batch [280/792] D_loss: 1.6929 G_loss: 0.6899
Epoch [4/20] Batch [290/792] D_loss: 1.6930 G_loss: 0.6937
Epoch [4/20] Batch [300/792] D_loss: 1.6933 G_loss: 0.6960
Epoch [4/20] Batch [310/792] D_loss: 1.6929 G_loss: 0.6886
Epoch [4/20] Batch [320/792] D_loss: 1.6932 G_loss: 0.6936
Epoch [4/20] Batch [330/792] D_loss: 1.6931 G_loss: 0.6986
Epoch [4/20] Batch [340/792] D_loss: 1.6928 G_loss: 0.6907
Epoch [4/20] Batch [350/792] D_loss: 1.6932 G_loss: 0.6909
Epoch [4/20] Batch [360/792] D_loss: 1.6930 G_loss: 0.7001
Epoch [4/20] Batch [370/792] D_loss: 1.6929 G_loss: 0.6914
Epoch [4/20] Batch [380/792] D_loss: 1.6933 G_loss: 0.6885
Epoch [4/20] Batch [390/792] D_loss: 1.6930 G_loss: 0.6999
Epoch [4/20] Batch [400/792] D_loss: 1.6935 G_loss: 0.6936
Epoch [4/20] Batch [410/792] D_loss: 1.6933 G_loss: 0.6879
Epoch [4/20] Batch [420/792] D_loss: 1.6928 G_loss: 0.6987
Epoch [4/20] Batch [430/792] D_loss: 1.6939 G_loss: 0.6962
Epoch [4/20] Batch [440/792] D_loss: 1.6931 G_loss: 0.6874
Epoch [4/20] Batch [450/792] D_loss: 1.6930 G_loss: 0.6953
